日期,天气情况,气温,风向
2024年05月01日,小雨/多云,13℃/20℃,北风1-3级/北风
2024年05月02日,多云/多云,15℃/22℃,北风1-3级/北风
2024年05月03日,多云/阴,15℃/23℃,东风1-3级/北风
2024年05月04日,小雨/中雨,16℃/19℃,北风1-3级/北风
2024年05月05日,小雨/小雨,17℃/23℃,西南风1-3级/北风
2024年05月06日,阴/多云,17℃/26℃,北风1-3级/北风
2024年05月07日,多云/晴,16℃/26℃,北风1-3级/北风
2024年05月08日,晴/多云,14℃/24℃,北风1-3级/北风
2024年05月09日,多云/多云,17℃/24℃,北风1-3级/东南风
2024年05月10日,晴/小雨,19℃/25℃,南风1-3级/南风
2024年05月11日,大雨/小雨,16℃/23℃,北风1-3级/北风
2024年05月12日,多云/多云,13℃/23℃,北风1-3级/北风
2024年05月13日,多云/晴,17℃/26℃,北风1-3级/北风
2024年05月14日,晴/晴,16℃/27℃,北风1-3级/北风
2024年05月15日,晴/晴,15℃/27℃,北风3-4级/北风
2024年05月16日,晴/阴,18℃/26℃,北风1-3级/北风
2024年05月17日,多云/晴,20℃/29℃,北风1-3级/东南风
2024年05月18日,晴/晴,19℃/29℃,东南风1-3级/北风
2024年05月19日,阴/阴,20℃/28℃,北风1-3级/北风
2024年05月20日,阴/阴,20℃/28℃,北风1-3级/北风
2024年05月21日,多云/多云,20℃/27℃,北风1-3级/北风
2024年05月22日,多云/多云,20℃/26℃,北风1-3级/北风
2024年05月23日,多云/晴,20℃/27℃,北风1-3级/北风
2024年05月24日,多云/阴,21℃/29℃,北风1-3级/北风
2024年05月25日,阴/阴,22℃/28℃,北风1-3级/北风
2024年05月26日,小雨/小雨,23℃/32℃,北风1-3级/北风
2024年05月27日,中雨/阴,18℃/22℃,北风1-3级/北风
2024年05月28日,多云/多云,18℃/27℃,北风1-3级/北风
2024年05月29日,多云/多云,19℃/27℃,北风1-3级/北风
2024年05月30日,小雨/中雨,20℃/25℃,北风1-3级/北风
2024年05月31日,小雨/小雨,18℃/23℃,北风1-3级/北风
2024年06月01日,阴/多云,19℃/26℃,北风1-3级/北风
2024年06月02日,阴/阴,20℃/27℃,北风1-3级/北风
2024年06月03日,多云/阴,21℃/31℃,北风1-3级/北风
2024年06月04日,多云/阴,21℃/28℃,北风1-3级/北风
2024年06月05日,小雨/小雨,19℃/24℃,北风1-3级/北风
2024年06月06日,阴/阴,18℃/23℃,北风1-3级/北风
2024年06月07日,阴/多云,20℃/26℃,北风1-3级/北风
2024年06月08日,多云/阴,21℃/29℃,北风1-3级/北风
2024年06月09日,多云/多云,21℃/31℃,北风1-3级/北风
2024年06月10日,阴/阴,22℃/26℃,北风1-3级/北风
2024年06月11日,阴/阴,21℃/26℃,北风1-3级/北风
2024年06月12日,多云/晴,23℃/29℃,北风1-3级/北风
2024年06月13日,阴/阴,23℃/31℃,北风1-3级/北风
2024年06月14日,多云/阴,23℃/31℃,北风1-3级/北风
2024年06月15日,晴/阴,23℃/34℃,北风1-3级/北风
2024年06月16日,多云/阴,23℃/33℃,北风1-3级/北风
2024年06月17日,阵雨/多云,22℃/28℃,北风1-3级/北风
2024年06月18日,晴/小雨,22℃/30℃,北风1-3级/北风
2024年06月19日,中雨/大雨,23℃/26℃,北风1-3级/北风
2024年06月20日,中雨/小雨,24℃/29℃,北风1-3级/北风
2024年06月21日,中雨/小雨,25℃/30℃,北风1-3级/北风
2024年06月22日,小雨/中雨,25℃/30℃,北风1-3级/北风
2024年06月23日,中雨/小雨,23℃/28℃,北风1-3级/北风
2024年06月24日,小雨/小雨,22℃/28℃,北风1-3级/北风
2024年06月25日,中雨/大雨,21℃/23℃,北风1-3级/东风
2024年06月26日,大雨/小雨,22℃/25℃,北风1-3级/北风
2024年06月27日,中雨/中雨,23℃/25℃,北风1-3级/北风
2024年06月28日,中雨/小雨,23℃/26℃,北风1-3级/北风
2024年06月29日,小雨/中雨,25℃/30℃,北风1-3级/北风
2024年06月30日,大雨/大雨,24℃/28℃,北风1-3级/北风
2024年07月01日,小雨/小雨,26℃/29℃,北风1-3级/南风
2024年07月02日,多云/小雨,26℃/35℃,北风1-3级/北风
