time,Python,C++,C,Java,C#,JavaScript,Fortran
2001-6-30,1.25,14.2,20.24,26.49,0.38,1.55,1.41
2001-7-30,1.13,16.11,20.77,25.03,0.43,1.72,1.31
2001-8-30,1.2,16.12,20.75,24.66,0.38,1.66,1.46
2001-9-28,1.17,15.85,20.77,24.82,0.39,1.63,1.4
2001-10-26,1.28,16.1,19.75,25.68,0.42,1.51,1.32
2001-11-28,1.23,15.67,19.21,24.37,0.76,1.47,1.29
2001-12-31,1.04,14.96,20.14,24.2,0.59,1.46,1.23
2002-1-30,1.02,15.18,18.83,24.06,0.62,2.73,1.23
2002-2-27,0.99,15.54,19.89,24.01,0.74,1.48,1.27
2002-3-29,0.99,15.91,19.85,24.41,0.74,1.47,1.27
2002-4-29,1.07,15.37,19.82,25.05,1.18,1.37,1.28
2002-5-29,1.06,14.86,19.99,25.19,1.16,1.36,1.26
2002-6-29,1.13,14.18,19.57,24.2,1.46,1.43,1.28
2002-7-31,1.08,14.94,19.25,24.53,1.36,1.15,1.05
2002-8-29,1.22,14.77,18.16,22.89,1.46,2.02,1.16
2002-9-29,1.08,15.9,18.7,24.48,1.65,1.91,1.14
2002-10-30,1.19,15.03,18.73,24.2,1.78,1.98,1.19
2002-11-29,1.0,13.64,17.5,24.12,2.38,2.49,1.22
2002-12-31,1.0,13.19,17.26,24.23,2.45,2.42,1.24
2003-1-31,1.03,14.63,18.25,24.79,1.99,2.92,1.14
2003-2-28,0.97,15.53,18.54,24.78,1.98,2.81,1.07
2003-3-31,0.99,14.57,17.21,24.6,2.38,2.63,0.96
2003-4-30,1.01,15.8,18.02,24.66,1.88,3.26,0.87
2003-5-30,1.16,15.58,18.5,23.11,1.94,1.72,0.91
2003-6-30,1.28,16.72,18.52,22.34,1.78,1.69,0.94
2003-7-31,1.3,16.58,17.97,23.21,2.0,1.79,0.87
2003-8-31,1.42,17.53,17.78,22.24,2.06,1.9,0.83
2003-9-30,1.49,16.17,18.31,21.9,1.94,1.66,0.73
2003-10-31,1.77,16.31,17.0,23.08,1.9,1.92,0.78
2003-11-30,1.1,17.42,18.47,25.01,1.71,1.74,0.56
2003-12-31,1.13,16.08,18.6,23.57,1.8,1.74,0.54
2004-1-31,1.01,15.71,18.2,22.56,2.18,2.14,0.48
2004-2-29,1.02,14.5,18.93,23.17,2.24,2.06,0.5
2004-3-31,1.01,15.99,17.75,24.24,2.14,1.78,0.51
2004-4-30,4.57,12.27,17.95,18.69,1.88,1.78,0.38
2004-5-30,6.58,12.55,18.29,17.54,1.65,1.45,0.37
2004-6-30,4.96,13.44,17.14,17.05,1.67,1.61,0.34
2004-7-31,4.7,15.31,16.33,17.0,1.63,1.68,0.33
2004-8-30,5.6,14.92,17.12,15.9,1.63,1.51,0.28
2004-9-30,4.44,15.02,18.17,17.05,1.64,1.27,0.37
2004-10-31,5.2,13.86,17.99,14.8,1.5,1.2,0.43
2004-11-30,3.03,11.91,19.7,16.33,1.95,1.59,0.5
2004-12-31,2.84,11.93,20.71,17.48,2.2,1.7,0.52
2005-1-31,2.51,11.34,19.82,18.34,2.36,1.78,0.52
2005-2-28,2.42,11.63,19.47,18.87,2.53,1.65,0.89
2005-3-31,2.7,10.19,18.63,16.98,2.82,1.64,1.05
2005-4-30,2.48,9.9,18.52,17.4,2.77,1.44,1.06
2005-5-31,2.8,9.72,19.37,18.57,2.78,1.39,0.82
2005-6-30,2.52,11.06,19.85,19.66,3.14,1.78,0.79
2005-7-31,2.88,10.51,19.47,21.21,3.48,1.92,0.59
2005-8-31,3.03,11.17,19.16,22.44,3.29,1.77,0.6
2005-9-30,2.88,11.82,18.77,21.87,3.46,2.04,0.64
2005-12-3,2.68,11.03,19.63,22.13,3.31,1.84,0.45
2006-1-4,2.6,11.46,19.01,22.25,3.55,1.54,0.47
2006-2-2,2.67,11.3,18.33,22.43,3.97,1.51,0.48
2006-3-1,3.09,11.16,17.79,21.89,3.15,1.73,0.46
2006-4-2,2.76,10.9,17.69,21.28,3.95,1.57,0.46
2006-5-1,3.04,10.94,17.69,21.32,3.27,2.19,0.43
2006-6-1,3.46,10.67,18.25,21.13,3.24,1.46,0.43
2006-7-2,3.02,9.78,17.83,21.85,3.4,2.11,0.37
2006-8-2,3.07,10.25,17.43,22.38,2.68,2.02,0.39
2006-9-2,3.14,10.75,18.06,21.53,2.99,2.44,0.4
